町丁目,FamilyType,TotalHouseholds,TotalPopulation
東月隈４丁目,夫婦と子供から成る世帯,169,654
東月隈４丁目,その他の核家族世帯,166,397
東月隈４丁目,核家族以外の世帯,43,146
東月隈４丁目,非親族を含む世帯,7,18
東月隈４丁目,単独世帯,262,262
東月隈５丁目,夫婦のみの世帯,94,188
東月隈５丁目,夫婦と子供から成る世帯,101,352
東月隈５丁目,その他の核家族世帯,31,69
東月隈５丁目,核家族以外の世帯,55,247
東月隈５丁目,非親族を含む世帯,3,12
東月隈５丁目,単独世帯,84,84
浦田１丁目,夫婦のみの世帯,118,236
浦田１丁目,夫婦と子供から成る世帯,231,840
浦田１丁目,その他の核家族世帯,71,188
浦田１丁目,核家族以外の世帯,56,241
浦田１丁目,非親族を含む世帯,8,20
浦田１丁目,単独世帯,170,170
浦田２丁目,夫婦のみの世帯,74,148
浦田２丁目,夫婦と子供から成る世帯,187,685
浦田２丁目,その他の核家族世帯,23,62
浦田２丁目,核家族以外の世帯,28,109
浦田２丁目,非親族を含む世帯,2,7
浦田２丁目,単独世帯,112,112
東那珂１丁目,夫婦のみの世帯,109,218
東那珂１丁目,夫婦と子供から成る世帯,251,936
東那珂１丁目,その他の核家族世帯,53,130
東那珂１丁目,核家族以外の世帯,31,125
東那珂１丁目,非親族を含む世帯,12,24
東那珂１丁目,単独世帯,327,327
東那珂２丁目,夫婦のみの世帯,94,188
東那珂２丁目,夫婦と子供から成る世帯,181,667
東那珂２丁目,その他の核家族世帯,46,115
東那珂２丁目,核家族以外の世帯,30,104
東那珂２丁目,非親族を含む世帯,9,20
東那珂２丁目,単独世帯,292,292
東那珂３丁目,夫婦のみの世帯,85,170
東那珂３丁目,夫婦と子供から成る世帯,190,715
東那珂３丁目,その他の核家族世帯,60,146
