Town,FamilyType,TotalHouseholds,TotalPopulation,NonResSumHouseholds,NonResSumPopulation
板付１丁目,単独世帯,84,84,0,0
板付２丁目,夫婦のみの世帯,64,128,0,0
板付２丁目,夫婦と子供から成る世帯,129,479,0,0
板付２丁目,その他の核家族世帯,31,77,0,0
板付２丁目,核家族以外の世帯,32,133,0,0
板付２丁目,非親族を含む世帯,4,9,0,0
板付２丁目,単独世帯,112,112,0,0
板付３丁目,夫婦のみの世帯,301,602,1,1
板付３丁目,夫婦と子供から成る世帯,357,1327,1,1
板付３丁目,その他の核家族世帯,285,667,1,1
板付３丁目,核家族以外の世帯,76,285,1,1
板付３丁目,非親族を含む世帯,7,19,1,1
板付３丁目,単独世帯,558,558,1,1
板付４丁目,夫婦のみの世帯,116,232,2,2
板付４丁目,夫婦と子供から成る世帯,164,600,2,2
板付４丁目,その他の核家族世帯,83,196,2,2
板付４丁目,核家族以外の世帯,22,79,2,2
板付４丁目,非親族を含む世帯,6,16,2,2
板付４丁目,単独世帯,317,317,2,2
板付５丁目,夫婦のみの世帯,79,158,0,0
板付５丁目,夫婦と子供から成る世帯,182,660,0,0
板付５丁目,その他の核家族世帯,54,130,0,0
板付５丁目,核家族以外の世帯,29,130,0,0
板付５丁目,非親族を含む世帯,5,16,0,0
板付５丁目,単独世帯,286,286,0,0
板付６丁目,夫婦のみの世帯,47,94,0,0
板付６丁目,夫婦と子供から成る世帯,87,315,0,0
板付６丁目,その他の核家族世帯,21,53,0,0
板付６丁目,核家族以外の世帯,11,45,0,0
板付６丁目,非親族を含む世帯,3,6,0,0
板付６丁目,単独世帯,106,106,0,0
板付７丁目,夫婦のみの世帯,161,322,1,1
板付７丁目,夫婦と子供から成る世帯,306,1148,1,1
板付７丁目,その他の核家族世帯,118,284,1,1
板付７丁目,核家族以外の世帯,34,116,1,1
板付７丁目,非親族を含む世帯,13,27,1,1
板付７丁目,単独世帯,360,360,1,1
大字板付,夫婦のみの世帯,10,20,0,0
大字板付,夫婦と子供から成る世帯,16,55,0,0
大字板付,その他の核家族世帯,6,16,0,0
大字板付,核家族以外の世帯,4,17,0,0
大字板付,非親族を含む世帯,0,0,0,0
大字板付,単独世帯,9,9,0,0
諸岡２丁目,夫婦のみの世帯,89,178,0,0
諸岡２丁目,夫婦と子供から成る世帯,126,452,0,0
諸岡２丁目,その他の核家族世帯,46,116,0,0
諸岡２丁目,核家族以外の世帯,14,60,0,0
諸岡２丁目,非親族を含む世帯,9,25,0,0
諸岡２丁目,単独世帯,193,193,0,0
諸岡３丁目,夫婦のみの世帯,218,436,5,5
