家族類型,所有,建て方,面積,世帯数
15,3,3,1,1
15,3,3,2,2
15,3,3,3,2
15,3,3,4,0
15,3,3,5,1
15,4,0,0,0
15,4,0,1,1
15,4,0,2,0
15,4,0,3,1
15,4,0,4,0
15,4,0,5,0
15,4,1,0,6
15,4,1,1,1
15,4,1,2,0
15,4,1,3,1
15,4,1,4,0
15,4,1,5,0
15,4,2,0,0
15,4,2,1,1
15,4,2,2,3
15,4,2,3,0
15,4,2,4,0
15,4,2,5,0
15,4,3,0,2
15,4,3,1,0
15,4,3,2,0
15,4,3,3,1
15,4,3,4,0
15,4,3,5,0
2,0,0,0,21
2,0,0,1,12
2,0,0,2,4
2,0,0,3,3
2,0,0,4,33
2,0,0,5,29
2,0,1,0,0
2,0,1,1,0
2,0,1,2,0
2,0,1,3,0
2,0,1,4,9
2,0,1,5,0
2,0,2,0,3
2,0,2,1,6
2,0,2,2,12
2,0,2,3,174
2,0,2,4,1
2,0,2,5,6
2,0,3,0,2
2,0,3,1,2
2,0,3,2,0
2,0,3,3,7
2,0,3,4,4
2,0,3,5,0
2,1,0,0,0
2,1,0,1,0
2,1,0,2,0
2,1,0,3,0
2,1,0,4,0
2,1,0,5,0
2,1,1,0,0
2,1,1,1,0
2,1,1,2,0
2,1,1,3,0
2,1,1,4,0
2,1,1,5,0
2,1,2,0,6
2,1,2,1,32
2,1,2,2,107
2,1,2,3,10
2,1,2,4,1
2,1,2,5,0
2,1,3,0,0
2,1,3,1,0
2,1,3,2,0
2,1,3,3,0
2,1,3,4,0
2,1,3,5,0
2,2,0,0,0
2,2,0,1,0
2,2,0,2,9
2,2,0,3,0
2,2,0,4,2
2,2,0,5,0
2,2,1,0,3
2,2,1,1,0
2,2,1,2,3
2,2,1,3,1
2,2,1,4,1
2,2,1,5,0
2,2,2,0,232
2,2,2,1,7
2,2,2,2,8
2,2,2,3,9
2,2,2,4,9
2,2,2,5,2
2,2,3,0,18
2,2,3,1,0
2,2,3,2,1
2,2,3,3,1
2,2,3,4,0
2,2,3,5,0
2,3,0,0,1
2,3,0,1,6
2,3,0,2,0
2,3,0,3,3
2,3,0,4,2
2,3,0,5,0
2,3,1,0,0
2,3,1,1,1
2,3,1,2,1
2,3,1,3,0
2,3,1,4,0
2,3,1,5,0
2,3,2,0,0
2,3,2,1,0
2,3,2,2,2
2,3,2,3,3
2,3,2,4,2
2,3,2,5,0
2,3,3,0,0
2,3,3,1,3
2,3,3,2,2
2,3,3,3,0
2,3,3,4,3
2,3,3,5,1
2,4,0,0,2
2,4,0,1,1
2,4,0,2,1
2,4,0,3,2
2,4,0,4,0
2,4,0,5,0
2,4,1,0,1
2,4,1,1,0
2,4,1,2,0
2,4,1,3,0
2,4,1,4,0
2,4,1,5,0
2,4,2,0,1
2,4,2,1,0
2,4,2,2,1
2,4,2,3,1
2,4,2,4,0
2,4,2,5,0
2,4,3,0,0
2,4,3,1,0
2,4,3,2,0
2,4,3,3,0
2,4,3,4,0
2,4,3,5,0
3,0,0,0,0
3,0,0,1,25
3,0,0,2,6
3,0,0,3,23
3,0,0,4,426
3,0,0,5,32
3,0,1,0,0
3,0,1,1,4
3,0,1,2,1
3,0,1,3,0
3,0,1,4,0
3,0,1,5,0
3,0,2,0,6
3,0,2,1,18
3,0,2,2,737
3,0,2,3,1158
3,0,2,4,16
3,0,2,5,10
3,0,3,0,0
3,0,3,1,1
3,0,3,2,13
3,0,3,3,0
3,0,3,4,2
3,0,3,5,0
3,1,0,0,0
3,1,0,1,0
3,1,0,2,0
3,1,0,3,0
3,1,0,4,0
3,1,0,5,0
3,1,1,0,0
3,1,1,1,0
3,1,1,2,0
3,1,1,3,0
3,1,1,4,0
3,1,1,5,0
3,1,2,0,32
3,1,2,1,466
3,1,2,2,936
3,1,2,3,78
3,1,2,4,2
3,1,2,5,0
3,1,3,0,0
3,1,3,1,0
3,1,3,2,0
3,1,3,3,0
3,1,3,4,0
3,1,3,5,0
3,2,0,0,2
3,2,0,1,10
3,2,0,2,3
3,2,0,3,10
3,2,0,4,4
3,2,0,5,3
3,2,1,0,3
3,2,1,1,16
3,2,1,2,12
3,2,1,3,1
3,2,1,4,0
3,2,1,5,2
3,2,2,0,2122
3,2,2,1,185
3,2,2,2,6
3,2,2,3,0
3,2,2,4,2
3,2,2,5,13
3,2,3,0,0
3,2,3,1,2
3,2,3,2,4
3,2,3,3,1
3,2,3,4,1
3,2,3,5,0
3,3,0,0,2
3,3,0,1,6
3,3,0,2,4
3,3,0,3,10
3,3,0,4,0
3,3,0,5,4
3,3,1,0,3
3,3,1,1,0
3,3,1,2,0
3,3,1,3,2
3,3,1,4,1
3,3,1,5,0
3,3,2,0,12
3,3,2,1,33
3,3,2,2,0
3,3,2,3,0
3,3,2,4,2
3,3,2,5,0
3,3,3,0,2
3,3,3,1,1
3,3,3,2,0
3,3,3,3,3
3,3,3,4,1
3,3,3,5,0
3,4,0,0,11
3,4,0,1,5
3,4,0,2,1
3,4,0,3,1
3,4,0,4,0
3,4,0,5,0
3,4,1,0,1
3,4,1,1,0
3,4,1,2,1
3,4,1,3,0
3,4,1,4,0
3,4,1,5,0
3,4,2,0,41
3,4,2,1,4
3,4,2,2,15
3,4,2,3,14
3,4,2,4,0
3,4,2,5,0
3,4,3,0,2
3,4,3,1,0
3,4,3,2,0
3,4,3,3,0
3,4,3,4,0
3,4,3,5,0
4,0,0,0,0
4,0,0,1,0
4,0,0,2,5
4,0,0,3,22
4,0,0,4,5
4,0,0,5,2
4,0,1,0,3
4,0,1,1,1
4,0,1,2,2
4,0,1,3,2
4,0,1,4,2
4,0,1,5,0
4,0,2,0,1
4,0,2,1,3
4,0,2,2,15
4,0,2,3,9
4,0,2,4,4
4,0,2,5,3
4,0,3,0,0
4,0,3,1,1
4,0,3,2,0
4,0,3,3,0
4,0,3,4,0
4,0,3,5,1
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,1,0,0
4,1,1,1,0
4,1,1,2,0
4,1,1,3,0
4,1,1,4,0
4,1,1,5,0
4,1,2,0,1
4,1,2,1,2
4,1,2,2,0
4,1,2,3,2
4,1,2,4,1
4,1,2,5,0
4,1,3,0,0
4,1,3,1,0
4,1,3,2,0
4,1,3,3,0
4,1,3,4,0
4,1,3,5,0
4,2,0,0,0
4,2,0,1,0
4,2,0,2,2
4,2,0,3,0
4,2,0,4,0
4,2,0,5,0
4,2,1,0,0
4,2,1,1,0
4,2,1,2,0
4,2,1,3,2
4,2,1,4,0
4,2,1,5,0
4,2,2,0,1
4,2,2,1,1
4,2,2,2,0
4,2,2,3,0
4,2,2,4,1
4,2,2,5,0
4,2,3,0,0
4,2,3,1,1
4,2,3,2,0
4,2,3,3,0
4,2,3,4,0
4,2,3,5,1
4,3,0,0,0
4,3,0,1,1
4,3,0,2,0
4,3,0,3,0
4,3,0,4,0
4,3,0,5,0
4,3,1,0,0
4,3,1,1,0
4,3,1,2,0
4,3,1,3,0
4,3,1,4,0
