Town,BuildingType,TotalHouseholds,TotalPopulation
板付４丁目,一戸建,74,174
板付４丁目,長屋建,35,80
板付４丁目,共同住宅,590,1166
板付４丁目,その他,3,7
板付５丁目,一戸建,194,519
板付５丁目,長屋建,30,57
板付５丁目,共同住宅,406,794
板付５丁目,その他,1,4
板付６丁目,一戸建,30,82
板付６丁目,長屋建,4,12
板付６丁目,共同住宅,235,511
板付６丁目,その他,0,0
板付７丁目,一戸建,132,343
板付７丁目,長屋建,16,32
板付７丁目,共同住宅,836,1861
板付７丁目,その他,1,2
大字板付,一戸建,1,2
大字板付,長屋建,0,0
大字板付,共同住宅,42,108
大字板付,その他,0,0
諸岡１丁目,一戸建,127,370
諸岡１丁目,長屋建,12,32
諸岡１丁目,共同住宅,197,504
諸岡１丁目,その他,1,1
諸岡２丁目,一戸建,54,147
諸岡２丁目,長屋建,5,9
諸岡２丁目,共同住宅,413,855
諸岡２丁目,その他,1,4
諸岡３丁目,一戸建,257,674
諸岡３丁目,長屋建,13,25
諸岡３丁目,共同住宅,1348,2906
諸岡３丁目,その他,1,4
諸岡４丁目,一戸建,282,726
諸岡４丁目,長屋建,4,8
諸岡４丁目,共同住宅,540,919
諸岡４丁目,その他,3,4
諸岡５丁目,一戸建,235,596
諸岡５丁目,長屋建,1,2
諸岡５丁目,共同住宅,642,1172
諸岡５丁目,その他,2,5
諸岡６丁目,一戸建,235,597
諸岡６丁目,長屋建,22,42
諸岡６丁目,共同住宅,345,605
諸岡６丁目,その他,3,4
麦野１丁目,一戸建,259,638
麦野１丁目,長屋建,15,34
麦野１丁目,共同住宅,99,146
麦野１丁目,その他,1,1
麦野２丁目,一戸建,135,343
麦野２丁目,長屋建,2,3
麦野２丁目,共同住宅,259,630
麦野２丁目,その他,1,3
麦野３丁目,一戸建,128,397
麦野３丁目,長屋建,9,24
麦野３丁目,共同住宅,187,455
麦野３丁目,その他,1,3
麦野４丁目,一戸建,213,518
麦野４丁目,長屋建,9,15
麦野４丁目,共同住宅,697,1142
麦野４丁目,その他,1,1
麦野５丁目,一戸建,141,343
麦野５丁目,長屋建,11,21
麦野５丁目,共同住宅,634,1254
麦野５丁目,その他,1,2
麦野６丁目,一戸建,133,350
麦野６丁目,長屋建,22,32
麦野６丁目,共同住宅,609,869
麦野６丁目,その他,2,4
井相田１丁目,一戸建,8,28
井相田１丁目,長屋建,0,0
井相田１丁目,共同住宅,59,154
井相田１丁目,その他,0,0
井相田２丁目,一戸建,4,12
井相田２丁目,長屋建,0,0
井相田２丁目,共同住宅,182,435
井相田２丁目,その他,0,0
井相田３丁目,一戸建,138,366
井相田３丁目,長屋建,6,10
井相田３丁目,共同住宅,408,786
井相田３丁目,その他,1,3
三筑１丁目,一戸建,15,42
三筑１丁目,長屋建,2,5
三筑１丁目,共同住宅,386,1028
三筑１丁目,その他,0,0
三筑２丁目,一戸建,122,297
三筑２丁目,長屋建,8,20
三筑２丁目,共同住宅,762,1570
三筑２丁目,その他,0,0
相生町１丁目,一戸建,0,0
相生町１丁目,長屋建,0,0
相生町１丁目,共同住宅,196,518
相生町１丁目,その他,1,4
相生町２丁目,一戸建,47,126
相生町２丁目,長屋建,3,5
相生町２丁目,共同住宅,288,424
相生町２丁目,その他,1,2
相生町３丁目,一戸建,22,48
相生町３丁目,長屋建,0,0
相生町３丁目,共同住宅,393,760
相生町３丁目,その他,0,0
銀天町１丁目,一戸建,25,63
銀天町１丁目,長屋建,1,1
銀天町１丁目,共同住宅,105,212
銀天町１丁目,その他,0,0
銀天町２丁目,一戸建,7,12
銀天町２丁目,長屋建,0,0
銀天町２丁目,共同住宅,147,223
銀天町２丁目,その他,2,3
銀天町３丁目,一戸建,15,35
銀天町３丁目,長屋建,0,0
銀天町３丁目,共同住宅,196,243
銀天町３丁目,その他,4,9
寿町１丁目,一戸建,0,0
寿町１丁目,長屋建,0,0
寿町１丁目,共同住宅,41,102
寿町１丁目,その他,0,0
寿町２丁目,一戸建,39,75
寿町２丁目,長屋建,1,2
寿町２丁目,共同住宅,541,804
寿町２丁目,その他,0,0
寿町３丁目,一戸建,17,35
寿町３丁目,長屋建,0,0
寿町３丁目,共同住宅,413,722
寿町３丁目,その他,4,11
昭南町１丁目,一戸建,21,52
昭南町１丁目,長屋建,0,0
昭南町１丁目,共同住宅,234,367
昭南町１丁目,その他,1,2
昭南町２丁目,一戸建,32,68
昭南町２丁目,長屋建,1,1
昭南町２丁目,共同住宅,99,125
昭南町２丁目,その他,0,0
昭南町３丁目,一戸建,29,79
昭南町３丁目,長屋建,1,1
昭南町３丁目,共同住宅,142,202
昭南町３丁目,その他,0,0
新和町１丁目,一戸建,6,15
新和町１丁目,長屋建,2,2
新和町１丁目,共同住宅,249,538
新和町１丁目,その他,0,0
新和町２丁目,一戸建,49,125
新和町２丁目,長屋建,3,7
新和町２丁目,共同住宅,301,588
新和町２丁目,その他,2,7
西春町１丁目,一戸建,49,142
西春町１丁目,長屋建,1,1
西春町１丁目,共同住宅,270,461
西春町１丁目,その他,0,0
西春町２丁目,一戸建,27,62
西春町２丁目,長屋建,14,22
西春町２丁目,共同住宅,24,28
西春町２丁目,その他,0,0
西春町３丁目,一戸建,41,99
西春町３丁目,長屋建,3,4
西春町３丁目,共同住宅,193,334
西春町３丁目,その他,0,0
西春町４丁目,一戸建,22,55
西春町４丁目,長屋建,0,0
西春町４丁目,共同住宅,87,185
西春町４丁目,その他,0,0
春町１丁目,一戸建,34,96
春町１丁目,長屋建,4,4
春町１丁目,共同住宅,207,256
春町１丁目,その他,0,0
春町２丁目,一戸建,62,156
春町２丁目,長屋建,2,3
春町２丁目,共同住宅,272,480
春町２丁目,その他,0,0
春町３丁目,一戸建,43,114
春町３丁目,長屋建,10,15
春町３丁目,共同住宅,181,276
春町３丁目,その他,0,0
東雲町１丁目,一戸建,14,29
東雲町１丁目,長屋建,4,4
東雲町１丁目,共同住宅,96,101
東雲町１丁目,その他,1,2
東雲町２丁目,一戸建,4,12
東雲町２丁目,長屋建,2,2
東雲町２丁目,共同住宅,257,496
東雲町２丁目,その他,0,0
東雲町３丁目,一戸建,25,59
東雲町３丁目,長屋建,3,7
東雲町３丁目,共同住宅,134,254
東雲町３丁目,その他,1,1
東雲町４丁目,一戸建,16,45
東雲町４丁目,長屋建,0,0
東雲町４丁目,共同住宅,123,168
東雲町４丁目,その他,0,0
光丘町１丁目,一戸建,25,71
光丘町１丁目,長屋建,7,12
光丘町１丁目,共同住宅,316,577
光丘町１丁目,その他,2,4
光丘町２丁目,一戸建,44,104
光丘町２丁目,長屋建,4,4
光丘町２丁目,共同住宅,106,221
光丘町２丁目,その他,0,0
光丘町３丁目,一戸建,27,70
光丘町３丁目,長屋建,17,35
光丘町３丁目,共同住宅,89,167
光丘町３丁目,その他,1,4
南本町１丁目,一戸建,34,81
南本町１丁目,長屋建,2,3
南本町１丁目,共同住宅,99,128
南本町１丁目,その他,2,5
南本町２丁目,一戸建,16,48
南本町２丁目,長屋建,3,4
南本町２丁目,共同住宅,197,331
南本町２丁目,その他,1,2
南八幡町１丁目,一戸建,44,109
南八幡町１丁目,長屋建,0,0
南八幡町１丁目,共同住宅,315,558
南八幡町１丁目,その他,4,6
南八幡町２丁目,一戸建,44,125
南八幡町２丁目,長屋建,2,4
南八幡町２丁目,共同住宅,463,995
南八幡町２丁目,その他,1,3
竹丘町１丁目,一戸建,27,65
竹丘町１丁目,長屋建,2,2
竹丘町１丁目,共同住宅,151,269
竹丘町１丁目,その他,1,1
竹丘町２丁目,一戸建,13,32
竹丘町２丁目,長屋建,2,2
竹丘町２丁目,共同住宅,294,459
竹丘町２丁目,その他,1,6
竹丘町３丁目,一戸建,0,0
竹丘町３丁目,長屋建,0,0
竹丘町３丁目,共同住宅,114,162
竹丘町３丁目,その他,0,0
元町１丁目,一戸建,41,95
元町１丁目,長屋建,0,0
元町１丁目,共同住宅,167,252
元町１丁目,その他,0,0
元町２丁目,一戸建,10,30
元町２丁目,長屋建,0,0
元町２丁目,共同住宅,808,1639
元町２丁目,その他,0,0
元町３丁目,一戸建,5,13
元町３丁目,長屋建,0,0
元町３丁目,共同住宅,83,290
元町３丁目,その他,0,0
青木１丁目,一戸建,47,153
青木１丁目,長屋建,7,12
青木１丁目,共同住宅,614,1421
青木１丁目,その他,1,2
青木２丁目,一戸建,6,21
青木２丁目,長屋建,0,0
青木２丁目,共同住宅,0,0
青木２丁目,その他,0,0
空港前１丁目,一戸建,3,13
空港前１丁目,長屋建,0,0
空港前１丁目,共同住宅,15,15
空港前１丁目,その他,0,0
空港前２丁目,一戸建,109,319
空港前２丁目,長屋建,1,1
空港前２丁目,共同住宅,350,524
空港前２丁目,その他,0,0
空港前３丁目,一戸建,144,416
空港前３丁目,長屋建,6,14
空港前３丁目,共同住宅,418,545
空港前３丁目,その他,4,8
空港前４丁目,一戸建,42,142
空港前４丁目,長屋建,1,1
空港前４丁目,共同住宅,17,23
空港前４丁目,その他,1,4
空港前５丁目,一戸建,80,226
空港前５丁目,長屋建,2,6
空港前５丁目,共同住宅,53,133
空港前５丁目,その他,0,0
東平尾１丁目,一戸建,22,56
東平尾１丁目,長屋建,14,27
東平尾１丁目,共同住宅,321,701
東平尾１丁目,その他,0,0
