Town,OwnershipType,TotalHouseholds,TotalPopulation
西月隈４丁目,公営・都市再生機構・公社の借家,0,0
西月隈４丁目,民営の借家,0,0
西月隈４丁目,給与住宅,0,0
西月隈４丁目,間借り,0,0
西月隈５丁目,持ち家,121,296
西月隈５丁目,公営・都市再生機構・公社の借家,0,0
西月隈５丁目,民営の借家,109,229
西月隈５丁目,給与住宅,19,21
西月隈５丁目,間借り,4,9
西月隈６丁目,持ち家,8,21
西月隈６丁目,公営・都市再生機構・公社の借家,0,0
西月隈６丁目,民営の借家,12,18
西月隈６丁目,給与住宅,1,1
西月隈６丁目,間借り,1,1
東月隈１丁目,持ち家,228,593
東月隈１丁目,公営・都市再生機構・公社の借家,0,0
東月隈１丁目,民営の借家,12,33
東月隈１丁目,給与住宅,1,5
東月隈１丁目,間借り,6,19
東月隈２丁目,持ち家,215,577
東月隈２丁目,公営・都市再生機構・公社の借家,0,0
東月隈２丁目,民営の借家,13,37
東月隈２丁目,給与住宅,0,0
東月隈２丁目,間借り,0,0
東月隈３丁目,持ち家,320,831
東月隈３丁目,公営・都市再生機構・公社の借家,0,0
東月隈３丁目,民営の借家,79,165
東月隈３丁目,給与住宅,2,4
東月隈３丁目,間借り,2,5
東月隈４丁目,持ち家,7,23
東月隈４丁目,公営・都市再生機構・公社の借家,790,1757
東月隈４丁目,民営の借家,3,4
東月隈４丁目,給与住宅,0,0
東月隈４丁目,間借り,2,3
東月隈５丁目,持ち家,306,801
東月隈５丁目,公営・都市再生機構・公社の借家,0,0
東月隈５丁目,民営の借家,46,118
東月隈５丁目,給与住宅,4,12
東月隈５丁目,間借り,6,15
浦田１丁目,持ち家,370,1048
浦田１丁目,公営・都市再生機構・公社の借家,19,50
浦田１丁目,民営の借家,241,543
浦田１丁目,給与住宅,11,28
浦田１丁目,間借り,8,19
浦田２丁目,持ち家,275,808
浦田２丁目,公営・都市再生機構・公社の借家,0,0
浦田２丁目,民営の借家,131,285
浦田２丁目,給与住宅,7,14
浦田２丁目,間借り,3,6
東那珂１丁目,持ち家,281,771
東那珂１丁目,公営・都市再生機構・公社の借家,138,272
東那珂１丁目,民営の借家,337,638
東那珂１丁目,給与住宅,18,57
東那珂１丁目,間借り,9,22
東那珂２丁目,持ち家,354,910
東那珂２丁目,公営・都市再生機構・公社の借家,0,0
東那珂２丁目,民営の借家,230,386
東那珂２丁目,給与住宅,24,43
東那珂２丁目,間借り,5,8
東那珂３丁目,持ち家,347,939
東那珂３丁目,公営・都市再生機構・公社の借家,0,0
東那珂３丁目,民営の借家,173,387
東那珂３丁目,給与住宅,17,43
東那珂３丁目,間借り,3,10
半道橋１丁目,持ち家,490,1234
半道橋１丁目,公営・都市再生機構・公社の借家,0,0
半道橋１丁目,民営の借家,192,322
半道橋１丁目,給与住宅,20,49
半道橋１丁目,間借り,9,14
半道橋２丁目,持ち家,33,73
半道橋２丁目,公営・都市再生機構・公社の借家,0,0
半道橋２丁目,民営の借家,72,122
半道橋２丁目,給与住宅,3,6
半道橋２丁目,間借り,1,3
竹下１丁目,持ち家,163,413
竹下１丁目,公営・都市再生機構・公社の借家,0,0
竹下１丁目,民営の借家,337,381
竹下１丁目,給与住宅,13,17
竹下１丁目,間借り,5,7
竹下２丁目,持ち家,16,44
竹下２丁目,公営・都市再生機構・公社の借家,0,0
竹下２丁目,民営の借家,313,397
竹下２丁目,給与住宅,28,40
竹下２丁目,間借り,3,4
竹下３丁目,持ち家,0,0
竹下３丁目,公営・都市再生機構・公社の借家,0,0
竹下３丁目,民営の借家,0,0
竹下３丁目,給与住宅,0,0
竹下３丁目,間借り,0,0
竹下４丁目,持ち家,146,320
竹下４丁目,公営・都市再生機構・公社の借家,93,138
竹下４丁目,民営の借家,425,525
竹下４丁目,給与住宅,24,25
竹下４丁目,間借り,8,11
竹下５丁目,持ち家,221,537
竹下５丁目,公営・都市再生機構・公社の借家,0,0
竹下５丁目,民営の借家,462,701
竹下５丁目,給与住宅,24,62
竹下５丁目,間借り,7,14
東光寺町１丁目,持ち家,95,251
東光寺町１丁目,公営・都市再生機構・公社の借家,0,0
東光寺町１丁目,民営の借家,261,436
東光寺町１丁目,給与住宅,9,22
東光寺町１丁目,間借り,4,16
東光寺町２丁目,持ち家,73,219
東光寺町２丁目,公営・都市再生機構・公社の借家,0,0
東光寺町２丁目,民営の借家,182,396
東光寺町２丁目,給与住宅,8,22
東光寺町２丁目,間借り,2,4
那珂１丁目,持ち家,315,804
那珂１丁目,公営・都市再生機構・公社の借家,0,0
那珂１丁目,民営の借家,582,933
那珂１丁目,給与住宅,35,65
那珂１丁目,間借り,19,31
那珂２丁目,持ち家,147,413
那珂２丁目,公営・都市再生機構・公社の借家,0,0
那珂２丁目,民営の借家,388,725
那珂２丁目,給与住宅,28,71
那珂２丁目,間借り,3,3
那珂３丁目,持ち家,197,586
那珂３丁目,公営・都市再生機構・公社の借家,309,767
那珂３丁目,民営の借家,256,473
那珂３丁目,給与住宅,16,42
那珂３丁目,間借り,2,5
那珂４丁目,持ち家,221,635
那珂４丁目,公営・都市再生機構・公社の借家,174,403
那珂４丁目,民営の借家,190,400
那珂４丁目,給与住宅,16,50
那珂４丁目,間借り,7,11
那珂５丁目,持ち家,118,273
那珂５丁目,公営・都市再生機構・公社の借家,0,0
那珂５丁目,民営の借家,327,678
那珂５丁目,給与住宅,25,57
那珂５丁目,間借り,0,0
那珂６丁目,持ち家,114,287
那珂６丁目,公営・都市再生機構・公社の借家,0,0
那珂６丁目,民営の借家,261,508
那珂６丁目,給与住宅,75,139
那珂６丁目,間借り,2,4
板付１丁目,持ち家,78,213
板付１丁目,公営・都市再生機構・公社の借家,0,0
板付１丁目,民営の借家,115,193
板付１丁目,給与住宅,1,2
板付１丁目,間借り,2,2
板付２丁目,持ち家,215,616
板付２丁目,公営・都市再生機構・公社の借家,0,0
板付２丁目,民営の借家,143,289
板付２丁目,給与住宅,10,25
板付２丁目,間借り,4,8
板付３丁目,持ち家,141,404
板付３丁目,公営・都市再生機構・公社の借家,1404,2968
板付３丁目,民営の借家,36,78
板付３丁目,給与住宅,1,5
板付３丁目,間借り,1,2
板付４丁目,持ち家,114,291
板付４丁目,公営・都市再生機構・公社の借家,206,428
板付４丁目,民営の借家,364,662
板付４丁目,給与住宅,18,46
板付４丁目,間借り,4,11
板付５丁目,持ち家,214,591
板付５丁目,公営・都市再生機構・公社の借家,0,0
板付５丁目,民営の借家,400,735
板付５丁目,給与住宅,17,48
板付５丁目,間借り,4,6
板付６丁目,持ち家,61,168
板付６丁目,公営・都市再生機構・公社の借家,0,0
板付６丁目,民営の借家,158,335
板付６丁目,給与住宅,51,103
板付６丁目,間借り,5,13
板付７丁目,持ち家,314,838
板付７丁目,公営・都市再生機構・公社の借家,311,688
板付７丁目,民営の借家,339,660
板付７丁目,給与住宅,21,52
板付７丁目,間借り,6,18
大字板付,持ち家,34,81
大字板付,公営・都市再生機構・公社の借家,0,0
大字板付,民営の借家,9,29
大字板付,給与住宅,0,0
大字板付,間借り,2,7
諸岡１丁目,持ち家,185,546
諸岡１丁目,公営・都市再生機構・公社の借家,0,0
諸岡１丁目,民営の借家,142,335
諸岡１丁目,給与住宅,10,26
諸岡１丁目,間借り,1,1
諸岡２丁目,持ち家,133,352
諸岡２丁目,公営・都市再生機構・公社の借家,0,0
諸岡２丁目,民営の借家,325,631
諸岡２丁目,給与住宅,15,32
諸岡２丁目,間借り,4,9
諸岡３丁目,持ち家,670,1883
諸岡３丁目,公営・都市再生機構・公社の借家,0,0
諸岡３丁目,民営の借家,835,1475
諸岡３丁目,給与住宅,114,251
諸岡３丁目,間借り,8,15
諸岡４丁目,持ち家,357,897
諸岡４丁目,公営・都市再生機構・公社の借家,0,0
諸岡４丁目,民営の借家,457,721
諸岡４丁目,給与住宅,15,39
諸岡４丁目,間借り,4,5
諸岡５丁目,持ち家,321,869
諸岡５丁目,公営・都市再生機構・公社の借家,47,99
諸岡５丁目,民営の借家,490,753
諸岡５丁目,給与住宅,22,54
諸岡５丁目,間借り,7,12
諸岡６丁目,持ち家,256,635
諸岡６丁目,公営・都市再生機構・公社の借家,0,0
諸岡６丁目,民営の借家,329,576
諸岡６丁目,給与住宅,20,37
諸岡６丁目,間借り,11,22
麦野１丁目,持ち家,254,613
麦野１丁目,公営・都市再生機構・公社の借家,0,0
麦野１丁目,民営の借家,114,189
麦野１丁目,給与住宅,6,17
麦野１丁目,間借り,8,13
麦野２丁目,持ち家,189,483
麦野２丁目,公営・都市再生機構・公社の借家,0,0
麦野２丁目,民営の借家,203,481
麦野２丁目,給与住宅,5,15
麦野２丁目,間借り,8,19
麦野３丁目,持ち家,120,372
麦野３丁目,公営・都市再生機構・公社の借家,0,0
麦野３丁目,民営の借家,194,471
麦野３丁目,給与住宅,11,36
麦野３丁目,間借り,10,16
麦野４丁目,持ち家,245,588
麦野４丁目,公営・都市再生機構・公社の借家,0,0
麦野４丁目,民営の借家,628,960
麦野４丁目,給与住宅,49,130
麦野４丁目,間借り,15,24
麦野５丁目,持ち家,288,697
麦野５丁目,公営・都市再生機構・公社の借家,0,0
麦野５丁目,民営の借家,478,890
麦野５丁目,給与住宅,21,33
麦野５丁目,間借り,9,21
麦野６丁目,持ち家,179,445
麦野６丁目,公営・都市再生機構・公社の借家,0,0
麦野６丁目,民営の借家,564,762
麦野６丁目,給与住宅,23,48
麦野６丁目,間借り,10,15
井相田１丁目,持ち家,62,161
井相田１丁目,公営・都市再生機構・公社の借家,0,0
井相田１丁目,民営の借家,8,21
井相田１丁目,給与住宅,1,4
井相田１丁目,間借り,0,0
井相田２丁目,持ち家,78,224
井相田２丁目,公営・都市再生機構・公社の借家,0,0
井相田２丁目,民営の借家,101,199
井相田２丁目,給与住宅,7,24
井相田２丁目,間借り,1,4
井相田３丁目,持ち家,188,484
井相田３丁目,公営・都市再生機構・公社の借家,0,0
井相田３丁目,民営の借家,336,607
井相田３丁目,給与住宅,29,74
井相田３丁目,間借り,12,29
