Town,FamilyType,TotalHouseholds,total_pop,NonResSum,NonResSumPopulation,IsSingleOnly,NonResHouseholds_Init,NonResHouseholds_Adjusted,NonResHouseholds,Discrepancy
冷泉町,単独世帯,921,921,4,4,True,4.0,0.4832356298632719,4.966471259726545,0.0
千代１丁目,夫婦のみの世帯,219,438,29,32,False,3.0416666666666665,-2.0632243055175223,-436.76114937794966,-433.9653118379729
千代１丁目,夫婦と子供から成る世帯,152,542,29,32,False,2.111111111111111,-1.7753044768834623,-437.40378510487113,-433.9653118379729
千代１丁目,その他の核家族世帯,128,311,29,32,False,1.7777777777777777,-1.32075545291844,-437.28256941423945,-433.9653118379729
千代１丁目,核家族以外の世帯,76,230,29,32,False,1.0555555555555556,-0.7619087177928844,-437.44594490133613,-433.9653118379729
千代１丁目,非親族を含む世帯,34,70,29,32,False,0.4722222222222222,-0.33470325554060265,-437.60207277241716,-433.9653118379729
千代１丁目,単独世帯,1479,1479,29,32,False,20.541666666666668,2.4816163075270112,-414.716308764905,-433.9653118379729
千代２丁目,夫婦のみの世帯,59,118,5,6,False,0.272895467160037,-0.18511054050744566,-11.327478120066111,-11.34965808668009
千代２丁目,夫婦と子供から成る世帯,34,119,5,6,False,0.1572617946345976,-0.13224674276409257,-11.390247994848199,-11.34965808668009
千代２丁目,その他の核家族世帯,49,117,5,6,False,0.22664199814986125,-0.16837799339067763,-11.356999041959519,-11.34965808668009
千代２丁目,核家族以外の世帯,16,49,5,6,False,0.07400555041628122,-0.05341781749947678,-11.394675313801898,-11.34965808668009
千代２丁目,非親族を含む世帯,11,25,5,6,False,0.05087881591119334,-0.036062058332175725,-11.400446289139683,-11.34965808668009
千代２丁目,単独世帯,912,912,5,6,False,4.21831637372803,0.5096101924552544,-6.687336480535463,-11.34965808668009
千代３丁目,夫婦のみの世帯,156,312,3,4,False,0.3218707015130674,-0.21833143712736533,-80.9180547672995,-80.55595268667551
千代３丁目,夫婦と子供から成る世帯,126,467,3,4,False,0.25997248968363135,-0.2186196275377376,-80.9802411695393,-80.55595268667551
千代３丁目,その他の核家族世帯,116,279,3,4,False,0.23933975240715266,-0.17781147173919165,-80.96006575101724,-80.55595268667551
千代３丁目,核家族以外の世帯,42,112,3,4,False,0.08665749656121045,-0.06255009671882508,-80.9974866318428,-80.55595268667551
千代３丁目,非親族を含む世帯,24,51,3,4,False,0.04951856946354882,-0.035097938278228095,-81.00717340049987,-80.55595268667551
千代３丁目,単独世帯,990,990,3,4,False,2.0426409903713894,0.246769226391664,-78.73218381492212,-80.55595268667551
千代４丁目,夫婦のみの世帯,57,114,126,126,True,0.0,-0.0,777.9379738189168,762.7160514782238
千代４丁目,夫婦と子供から成る世帯,36,117,126,126,True,0.0,-0.0,777.9379738189168,762.7160514782238
千代４丁目,その他の核家族世帯,49,116,126,126,True,0.0,-0.0,777.9379738189168,762.7160514782238
千代４丁目,核家族以外の世帯,32,98,126,126,True,0.0,-0.0,777.9379738189168,762.7160514782238
千代４丁目,非親族を含む世帯,18,36,126,126,True,0.0,-0.0,777.9379738189168,762.7160514782238
千代４丁目,単独世帯,1486,1486,126,126,True,126.0,15.221922340693064,919.1598961596092,762.7160514782238
千代５丁目,夫婦のみの世帯,113,226,58,58,True,0.0,-0.0,626.9159091435281,619.9089925105109
千代５丁目,夫婦と子供から成る世帯,106,390,58,58,True,0.0,-0.0,626.9159091435281,619.9089925105109
千代５丁目,その他の核家族世帯,87,209,58,58,True,0.0,-0.0,626.9159091435281,619.9089925105109
千代５丁目,核家族以外の世帯,34,101,58,58,True,0.0,-0.0,626.9159091435281,619.9089925105109
千代５丁目,非親族を含む世帯,10,22,58,58,True,0.0,-0.0,626.9159091435281,619.9089925105109
千代５丁目,単独世帯,703,703,58,58,True,58.0,7.006916633017442,691.9228257765465,619.9089925105109
千代６丁目,夫婦のみの世帯,26,52,0,0,True,0.0,-0.0,0.0,0.0
千代６丁目,夫婦と子供から成る世帯,16,61,0,0,True,0.0,-0.0,0.0,0.0
千代６丁目,その他の核家族世帯,25,59,0,0,True,0.0,-0.0,0.0,0.0
千代６丁目,核家族以外の世帯,6,18,0,0,True,0.0,-0.0,0.0,0.0
千代６丁目,非親族を含む世帯,4,10,0,0,True,0.0,-0.0,0.0,0.0
千代６丁目,単独世帯,490,490,0,0,True,0.0,0.0,0.0,0.0
半道橋１丁目,夫婦のみの世帯,127,254,37,37,True,0.0,-0.0,519.3372753064082,514.8673457301732
半道橋１丁目,夫婦と子供から成る世帯,218,789,37,37,True,0.0,-0.0,519.3372753064082,514.8673457301732
半道橋１丁目,その他の核家族世帯,65,155,37,37,True,0.0,-0.0,519.3372753064082,514.8673457301732
半道橋１丁目,核家族以外の世帯,41,149,37,37,True,0.0,-0.0,519.3372753064082,514.8673457301732
半道橋１丁目,非親族を含む世帯,9,21,37,37,True,0.0,-0.0,519.3372753064082,514.8673457301732
半道橋１丁目,単独世帯,288,288,37,37,True,37.0,4.469929576235265,560.8072048826436,514.8673457301732
半道橋２丁目,夫婦のみの世帯,19,38,0,0,True,0.0,-0.0,0.0,0.0
半道橋２丁目,夫婦と子供から成る世帯,14,49,0,0,True,0.0,-0.0,0.0,0.0
半道橋２丁目,その他の核家族世帯,9,19,0,0,True,0.0,-0.0,0.0,0.0
半道橋２丁目,核家族以外の世帯,10,35,0,0,True,0.0,-0.0,0.0,0.0
半道橋２丁目,非親族を含む世帯,3,9,0,0,True,0.0,-0.0,0.0,0.0
半道橋２丁目,単独世帯,54,54,0,0,True,0.0,0.0,0.0,0.0
南八幡町１丁目,夫婦のみの世帯,39,78,1,1,True,0.0,-0.0,0.12080890746581807,0.0
南八幡町１丁目,夫婦と子供から成る世帯,77,284,1,1,True,0.0,-0.0,0.12080890746581807,0.0
南八幡町１丁目,その他の核家族世帯,22,57,1,1,True,0.0,-0.0,0.12080890746581807,0.0
南八幡町１丁目,核家族以外の世帯,11,38,1,1,True,0.0,-0.0,0.12080890746581807,0.0
南八幡町１丁目,非親族を含む世帯,3,9,1,1,True,0.0,-0.0,0.12080890746581807,0.0
南八幡町１丁目,単独世帯,220,220,1,1,True,1.0,0.12080890746581797,1.2416178149316361,0.0
南八幡町２丁目,夫婦のみの世帯,57,114,1,2,False,0.11003861003861004,-0.07464142513217249,-67.30470611349232,-66.95309121047691
南八幡町２丁目,夫婦と子供から成る世帯,171,628,1,2,False,0.3301158301158301,-0.27760552630803176,-67.28759299459095,-66.95309121047691
南八幡町２丁目,その他の核家族世帯,41,96,1,2,False,0.07915057915057915,-0.05880293944581376,-67.31975565869398,-66.95309121047691
南八幡町２丁目,核家族以外の世帯,16,65,1,2,False,0.03088803088803089,-0.02229523579804417,-67.33151050330876,-66.95309121047691
南八幡町２丁目,非親族を含む世帯,5,11,1,2,False,0.009652509652509652,-0.006841538269056153,-67.33729232701529,-66.95309121047691
南八幡町２丁目,単独世帯,228,228,1,2,False,0.44015444015444016,0.05317457703128668,-66.84677428121302,-66.95309121047691
南本町１丁目,夫婦のみの世帯,19,38,0,0,True,0.0,-0.0,0.0,0.0
