Town,AreaRange,TotalHouseholds,TotalPopulation
西月隈１丁目,0～29㎡,17,23
西月隈１丁目,30～49㎡,17,26
西月隈１丁目,50～69㎡,50,82
西月隈１丁目,70～99㎡,36,53
西月隈１丁目,100～149㎡,17,33
西月隈１丁目,150㎡以上,14,40
西月隈３丁目,0～29㎡,20,24
西月隈３丁目,30～49㎡,53,95
西月隈３丁目,50～69㎡,183,388
西月隈３丁目,70～99㎡,172,383
西月隈３丁目,100～149㎡,22,66
西月隈３丁目,150㎡以上,21,62
西月隈４丁目,0～29㎡,0,0
西月隈４丁目,30～49㎡,0,0
西月隈４丁目,50～69㎡,0,0
西月隈４丁目,70～99㎡,0,0
西月隈４丁目,100～149㎡,0,0
西月隈４丁目,150㎡以上,0,0
西月隈５丁目,0～29㎡,38,41
西月隈５丁目,30～49㎡,50,97
西月隈５丁目,50～69㎡,62,146
西月隈５丁目,70～99㎡,51,124
西月隈５丁目,100～149㎡,32,82
西月隈５丁目,150㎡以上,20,65
西月隈６丁目,0～29㎡,6,7
西月隈６丁目,30～49㎡,7,12
西月隈６丁目,50～69㎡,2,2
西月隈６丁目,70～99㎡,2,2
西月隈６丁目,100～149㎡,2,5
西月隈６丁目,150㎡以上,3,13
東月隈１丁目,0～29㎡,3,6
東月隈１丁目,30～49㎡,5,7
東月隈１丁目,50～69㎡,18,44
東月隈１丁目,70～99㎡,70,174
東月隈１丁目,100～149㎡,106,298
東月隈１丁目,150㎡以上,45,121
東月隈２丁目,0～29㎡,1,2
東月隈２丁目,30～49㎡,5,10
東月隈２丁目,50～69㎡,11,21
東月隈２丁目,70～99㎡,69,169
東月隈２丁目,100～149㎡,102,283
東月隈２丁目,150㎡以上,40,129
東月隈３丁目,0～29㎡,18,28
東月隈３丁目,30～49㎡,46,90
東月隈３丁目,50～69㎡,42,86
東月隈３丁目,70～99㎡,186,481
東月隈３丁目,100～149㎡,74,197
東月隈３丁目,150㎡以上,37,123
東月隈４丁目,0～29㎡,0,0
東月隈４丁目,30～49㎡,294,709
東月隈４丁目,50～69㎡,354,732
東月隈４丁目,70～99㎡,149,328
東月隈４丁目,100～149㎡,2,6
東月隈４丁目,150㎡以上,3,12
東月隈５丁目,0～29㎡,4,7
東月隈５丁目,30～49㎡,25,47
東月隈５丁目,50～69㎡,32,65
東月隈５丁目,70～99㎡,99,252
東月隈５丁目,100～149㎡,140,400
東月隈５丁目,150㎡以上,62,175
浦田１丁目,0～29㎡,41,62
浦田１丁目,30～49㎡,110,230
浦田１丁目,50～69㎡,119,293
浦田１丁目,70～99㎡,175,461
浦田１丁目,100～149㎡,150,460
浦田１丁目,150㎡以上,54,182
浦田２丁目,0～29㎡,26,26
浦田２丁目,30～49㎡,64,152
浦田２丁目,50～69㎡,50,111
浦田２丁目,70～99㎡,104,295
浦田２丁目,100～149㎡,130,406
浦田２丁目,150㎡以上,42,123
東那珂１丁目,0～29㎡,138,168
東那珂１丁目,30～49㎡,143,245
東那珂１丁目,50～69㎡,202,513
東那珂１丁目,70～99㎡,240,667
東那珂１丁目,100～149㎡,39,95
東那珂１丁目,150㎡以上,21,72
東那珂２丁目,0～29㎡,74,85
東那珂２丁目,30～49㎡,116,192
東那珂２丁目,50～69㎡,131,295
東那珂２丁目,70～99㎡,221,588
東那珂２丁目,100～149㎡,47,130
東那珂２丁目,150㎡以上,24,57
東那珂３丁目,0～29㎡,51,69
東那珂３丁目,30～49㎡,50,101
東那珂３丁目,50～69㎡,177,447
東那珂３丁目,70～99㎡,211,605
東那珂３丁目,100～149㎡,39,115
東那珂３丁目,150㎡以上,12,42
半道橋１丁目,0～29㎡,60,80
半道橋１丁目,30～49㎡,82,136
半道橋１丁目,50～69㎡,232,524
半道橋１丁目,70～99㎡,276,710
半道橋１丁目,100～149㎡,32,82
半道橋１丁目,150㎡以上,29,87
半道橋２丁目,0～29㎡,17,22
半道橋２丁目,30～49㎡,21,28
半道橋２丁目,50～69㎡,32,66
半道橋２丁目,70～99㎡,21,42
半道橋２丁目,100～149㎡,11,26
半道橋２丁目,150㎡以上,7,20
竹下１丁目,0～29㎡,211,217
竹下１丁目,30～49㎡,77,86
竹下１丁目,50～69㎡,78,136
