Town,NonResSumHouseholds,NonResSumPopulation,FamilyType,NonResHouseholds,NonResPopulation
板付３丁目,1,1,非親族を含む世帯,0,0
板付４丁目,2,2,その他の核家族世帯,0,0
板付４丁目,2,2,単独世帯,2,2
板付４丁目,2,2,夫婦と子供から成る世帯,0,0
板付４丁目,2,2,夫婦のみの世帯,0,0
板付４丁目,2,2,核家族以外の世帯,0,0
板付４丁目,2,2,非親族を含む世帯,0,0
板付５丁目,0,0,その他の核家族世帯,0,0
板付５丁目,0,0,単独世帯,0,0
板付５丁目,0,0,夫婦と子供から成る世帯,0,0
板付５丁目,0,0,夫婦のみの世帯,0,0
板付５丁目,0,0,核家族以外の世帯,0,0
板付５丁目,0,0,非親族を含む世帯,0,0
板付６丁目,0,0,その他の核家族世帯,0,0
板付６丁目,0,0,単独世帯,0,0
板付６丁目,0,0,夫婦と子供から成る世帯,0,0
板付６丁目,0,0,夫婦のみの世帯,0,0
板付６丁目,0,0,核家族以外の世帯,0,0
板付６丁目,0,0,非親族を含む世帯,0,0
板付７丁目,1,1,その他の核家族世帯,0,0
板付７丁目,1,1,単独世帯,1,1
板付７丁目,1,1,夫婦と子供から成る世帯,0,0
板付７丁目,1,1,夫婦のみの世帯,0,0
板付７丁目,1,1,核家族以外の世帯,0,0
板付７丁目,1,1,非親族を含む世帯,0,0
大字板付,0,0,その他の核家族世帯,0,0
大字板付,0,0,単独世帯,0,0
大字板付,0,0,夫婦と子供から成る世帯,0,0
大字板付,0,0,夫婦のみの世帯,0,0
大字板付,0,0,核家族以外の世帯,0,0
大字板付,0,0,非親族を含む世帯,0,0
諸岡２丁目,0,0,その他の核家族世帯,0,0
諸岡２丁目,0,0,単独世帯,0,0
諸岡２丁目,0,0,夫婦と子供から成る世帯,0,0
諸岡２丁目,0,0,夫婦のみの世帯,0,0
諸岡２丁目,0,0,核家族以外の世帯,0,0
諸岡２丁目,0,0,非親族を含む世帯,0,0
諸岡３丁目,5,5,その他の核家族世帯,0,0
諸岡３丁目,5,5,単独世帯,5,5
